release,class_name (class type),cbo,lcom
26,AnonymousDerivedProtectedOnDerived (Class),0,0
26,AnonymousDerivedProtectedToPublicInImpl (Class),0,0
26,BMPImageDecoderTest (Class),1,100
26,BarInterface (Public Class),0,0
26,Baz (Class),1,0
26,CMeasurePageLoadTimeModule (Class),0,0
26,ConcreteVirtualMethodsInHeaders (Class),0,0
26,ConcreteVirtualMethodsInImplementation (Class),0,0
26,FindBadConstructsAction (Class),4,0
26,FindBadConstructsConsumer (Class),5,86
26,FontConfigTypeface (Class),1,0
26,Foo (Class),1,0
26,ICOImageDecoderTest (Class),1,0
26,ImplementationDerivedClass (Class),0,0
26,InlineInCPPOK (Class),1,50
26,MesaDriver (Class),2,86
26,MissingInCPPOK (Class),1,0
26,PKCS12InitSingleton (Class),0,0
26,PublicRefCountedDtorInImpl (Class),0,0
26,Shaper (Class),0,0
26,SkFileDescriptorStream (Class),1,33
26,UnsafeTypedefChainInImpl (Class),0,0
26,VirtualMethodsInHeaders (Class),0,0
26,acp_entry (Class),2,0
26,acp_entry (Class),2,0
26,array_index_visit (Class),2,33
26,assignment_entry (Class),2,0
26,call_link_visitor (Class),11,50
26,examine_rhs (Class),3,0
26,find_assignment_visitor (Class),8,12
26,find_deref_visitor (Class),2,16
26,fixup_ir_call_visitor (Class),3,0
26,fs_inst (Class),2,74
26,fs_reg (Class),3,61
26,fs_visitor (Class),39,89
26,function_entry (Class),3,0
26,get_sampler_name (Class),7,35
26,import_prototype_visitor (Class),6,31
26,ir_algebraic_visitor (Class),7,57
26,ir_channel_expressions_visitor (Class),7,25
26,ir_constant_folding_visitor (Class),12,40
26,ir_constant_propagation_visitor (Class),22,56
26,ir_constant_variable_visitor (Class),12,25
26,ir_copy_propagation_visitor (Class),18,55
26,ir_dead_functions_visitor (Class),5,66
26,ir_div_to_mul_rcp_visitor (Class),4,0
26,ir_explog_to_explog2_visitor (Class),3,0
26,ir_expression_flattening_visitor (Class),7,33
26,ir_function_can_inline_visitor (Class),1,0
26,ir_function_inlining_visitor (Class),9,62
26,ir_has_call_visitor (Class),1,0
26,ir_if_simplification_visitor (Class),8,0
26,ir_if_to_cond_assign_visitor (Class),9,0
26,ir_mat_op_to_vec_visitor (Class),12,38
26,ir_mod_to_fract_visitor (Class),7,0
26,ir_noop_swizzle_visitor (Class),5,0
26,ir_sampler_replacement_visitor (Class),11,75
26,ir_set_program_inouts_visitor (Class),10,33
26,ir_structure_reference_visitor (Class),10,68
26,ir_structure_splitting_visitor (Class),14,83
26,ir_sub_to_add_neg_visitor (Class),2,0
26,ir_swizzle_swizzle_visitor (Class),3,0
26,ir_to_mesa_instruction (Class),4,100
26,ir_to_mesa_visitor (Class),36,87
26,ir_tree_grafting_visitor (Class),19,78
26,ir_validate (Class),12,66
26,ir_vec_index_to_cond_assign_visitor (Class),16,62
26,ir_vec_index_to_swizzle_visitor (Class),12,75
26,ir_vector_reference_visitor (Class),7,68
26,ir_vector_splitting_visitor (Class),8,62
26,kill_entry (Class),1,0
26,kill_entry (Class),1,0
26,kill_for_derefs_visitor (Class),6,0
26,loop_analysis (Class),13,47
26,loop_control_visitor (Class),13,0
26,loop_unroll_visitor (Class),8,0
26,lower_noise_visitor (Class),4,0
26,redundant_jumps_visitor (Class),6,0
26,remap_visitor (Class),6,0
26,signature_entry (Class),1,0
26,symbol_table_entry (Class),3,40
26,tst_CharAttributes (Class),1,100
26,tst_QScriptEngine (Class),1,100
26,variable_entry (Class),1,60
26,variable_entry2 (Class),1,0
26,variable_index_to_cond_assign_visitor (Class),13,63
26,variable_storage (Class),1,0
