release,clss_path,cbo,lcom
latest version,D:\6611\chromium_latest\tools\clang\plugins\ChromeClassTester.cpp,-1,-1
latest version,D:\6611\chromium_latest\content\shell\tools\plugin\Tests\DocumentOpenInDestroyStream.cpp,0,0
latest version,D:\6611\chromium_latest\tools\clang\blink_gc_plugin\Edge.cpp,8,50
latest version,D:\6611\chromium_latest\tools\clang\empty_string\EmptyStringConverter.cpp,5,0
latest version,D:\6611\chromium_latest\tools\clang\empty_string\EmptyStringConverter.cpp,5,0
latest version,D:\6611\chromium_latest\content\shell\tools\plugin\Tests\EvaluateJSAfterRemovingPluginElement.cpp,0,0
latest version,D:\6611\chromium_latest\content\shell\tools\plugin\Tests\FormValue.cpp,1,0
latest version,D:\6611\chromium_latest\content\shell\tools\plugin\Tests\GetURLNotifyWithURLThatFailsToLoad.cpp,0,0
latest version,D:\6611\chromium_latest\content\shell\tools\plugin\Tests\GetURLWithJavaScriptURL.cpp,0,0
latest version,D:\6611\chromium_latest\content\shell\tools\plugin\Tests\GetURLWithJavaScriptURLDestroyingPlugin.cpp,0,0
latest version,D:\6611\chromium_latest\content\shell\tools\plugin\Tests\GetUserAgentWithNullNPPFromNPPNew.cpp,0,0
latest version,D:\6611\chromium_latest\content\shell\tools\plugin\Tests\InvokeDestroysPluginWithinNPP_New.cpp,0,0
latest version,D:\6611\chromium_latest\content\shell\tools\plugin\Tests\LeakWindowScriptableObject.cpp,0,0
latest version,D:\6611\chromium_latest\content\shell\tools\plugin\Tests\LogNPPSetWindow.cpp,0,0
latest version,D:\6611\chromium_latest\content\shell\renderer\test_runner\MockConstraints.cpp,-1,-1
latest version,D:\6611\chromium_latest\content\shell\renderer\test_runner\MockSpellCheck.cpp,-1,-1
latest version,D:\6611\chromium_latest\content\shell\renderer\test_runner\MockWebAudioDevice.cpp,-1,-1
latest version,D:\6611\chromium_latest\content\shell\renderer\test_runner\MockWebSpeechRecognizer.cpp,-1,-1
latest version,D:\6611\chromium_latest\content\shell\tools\plugin\Tests\NPDeallocateCalledBeforeNPShutdown.cpp,0,0
latest version,D:\6611\chromium_latest\content\shell\tools\plugin\Tests\NPPNewFails.cpp,0,0
latest version,D:\6611\chromium_latest\content\shell\tools\plugin\Tests\NPPSetWindowCalledDuringDestruction.cpp,0,46
latest version,D:\6611\chromium_latest\content\shell\tools\plugin\Tests\NPRuntimeCallsWithNullNPP.cpp,1,0
latest version,D:\6611\chromium_latest\content\shell\tools\plugin\Tests\NPRuntimeObjectFromDestroyedPlugin.cpp,0,0
latest version,D:\6611\chromium_latest\content\shell\tools\plugin\Tests\NPRuntimeRemoveProperty.cpp,0,0
latest version,D:\6611\chromium_latest\content\shell\tools\plugin\Tests\NullNPPGetValuePointer.cpp,0,33
latest version,D:\6611\chromium_latest\content\shell\tools\plugin\Tests\PassDifferentNPPStruct.cpp,0,0
latest version,D:\6611\chromium_latest\content\shell\tools\plugin\PluginObject.cpp,0,0
latest version,D:\6611\chromium_latest\content\shell\tools\plugin\PluginObject.cpp,0,0
latest version,D:\6611\chromium_latest\content\shell\tools\plugin\Tests\PluginScriptableNPObjectInvokeDefault.cpp,0,0
latest version,D:\6611\chromium_latest\content\shell\tools\plugin\Tests\PluginScriptableObjectOverridesAllProperties.cpp,0,0
latest version,D:\6611\chromium_latest\content\shell\tools\plugin\PluginTest.cpp,-1,-1
latest version,D:\6611\chromium_latest\tools\clang\blink_gc_plugin\RecordInfo.cpp,-1,-1
latest version,D:\6611\chromium_latest\content\shell\tools\plugin\Tests\SlowNPPNew.cpp,0,0
latest version,D:\6611\chromium_latest\content\shell\renderer\test_runner\TestInterfaces.cpp,-1,-1
latest version,D:\6611\chromium_latest\content\shell\tools\plugin\TestObject.cpp,0,0
latest version,D:\6611\chromium_latest\content\shell\tools\plugin\TestObject.cpp,0,0
latest version,D:\6611\chromium_latest\content\shell\renderer\test_runner\TestPlugin.cpp,-1,-1
latest version,D:\6611\chromium_latest\content\shell\renderer\test_runner\WebPermissions.cpp,-1,-1
latest version,D:\6611\chromium_latest\content\shell\renderer\test_runner\WebTask.cpp,-1,-1
latest version,D:\6611\chromium_latest\content\shell\renderer\test_runner\WebTestInterfaces.cpp,-1,-1
latest version,D:\6611\chromium_latest\content\shell\renderer\test_runner\WebTestThemeEngineMock.cpp,-1,-1
